survey_id,response_id,category,subcategory,source_version
survey-demo,B0087,Comunicação,Retorno,1
survey-demo,B0088,Atendimento,Demora,2
survey-demo,B0091,Atendimento,Cordialidade,1
survey-demo,B0091,Atendimento,Demora,1
survey-demo,B0091,Comunicação,Retorno,1
survey-demo,B0091,Processo,Agendamento,1
survey-demo,B0092,Atendimento,Demora,1
survey-demo,B0092,Comunicação,Retorno,1
survey-demo,B0092,Processo,Agendamento,1
survey-demo,B0093,Atendimento,Cordialidade,1
survey-demo,B0093,Atendimento,Demora,1
survey-demo,B0093,Comunicação,Retorno,1
survey-demo,B0093,Processo,Agendamento,1
survey-demo,B0094,Atendimento,Cordialidade,1
survey-demo,B0094,Atendimento,Demora,1
survey-demo,B0094,Comunicação,Retorno,1
survey-demo,B0094,Processo,Agendamento,1
survey-demo,B0095,Atendimento,Demora,1
survey-demo,B0095,Comunicação,Retorno,1
survey-demo,B0095,Processo,Agendamento,1
survey-demo,B0096,Atendimento,Demora,2
survey-demo,B0097,Atendimento,Demora,1
survey-demo,B0097,Comunicação,Retorno,1
survey-demo,B0098,Atendimento,Demora,1
survey-demo,B0098,Comunicação,Retorno,1
survey-demo,B0099,Atendimento,Demora,1
survey-demo,B0099,Comunicação,Retorno,1
survey-demo,B0099,Processo,Agendamento,1
survey-demo,B0100,Atendimento,Demora,1
survey-demo,B0100,Comunicação,Retorno,1
survey-demo,B0100,Processo,Agendamento,1
survey-demo,B0101,Atendimento,Cordialidade,1
survey-demo,B0101,Atendimento,Demora,1
survey-demo,B0101,Comunicação,Retorno,1
survey-demo,B0101,Processo,Agendamento,1
survey-demo,B0103,Atendimento,Demora,1
survey-demo,B0103,Comunicação,Retorno,1
survey-demo,B0104,Atendimento,Demora,2
survey-demo,B0105,Atendimento,Demora,1
survey-demo,B0105,Comunicação,Retorno,1
survey-demo,B0106,Atendimento,Demora,1
survey-demo,B0106,Comunicação,Retorno,1
survey-demo,B0107,Atendimento,Demora,1
survey-demo,B0107,Comunicação,Retorno,1
survey-demo,B0107,Processo,Agendamento,1
survey-demo,B0109,Atendimento,Cordialidade,1
survey-demo,B0109,Atendimento,Demora,1
survey-demo,B0109,Comunicação,Retorno,1
survey-demo,B0109,Processo,Agendamento,1
survey-demo,B0110,Atendimento,Demora,1
survey-demo,B0110,Comunicação,Retorno,1
survey-demo,B0110,Processo,Agendamento,1
survey-demo,B0111,Atendimento,Cordialidade,1
survey-demo,B0111,Atendimento,Demora,1
survey-demo,B0111,Comunicação,Retorno,1
survey-demo,B0111,Processo,Agendamento,1
survey-demo,B0112,Atendimento,Demora,2
survey-demo,B0113,Atendimento,Cordialidade,1
survey-demo,B0113,Atendimento,Demora,1
survey-demo,B0113,Comunicação,Retorno,1
survey-demo,B0113,Processo,Agendamento,1
survey-demo,B0114,Atendimento,Cordialidade,1
survey-demo,B0114,Atendimento,Demora,1
survey-demo,B0114,Comunicação,Retorno,1
survey-demo,B0114,Processo,Agendamento,1
survey-demo,B0115,Atendimento,Demora,1
survey-demo,B0115,Comunicação,Retorno,1
survey-demo,B0115,Processo,Agendamento,1
survey-demo,B0116,Atendimento,Cordialidade,1
survey-demo,B0116,Atendimento,Demora,1
survey-demo,B0116,Comunicação,Retorno,1
survey-demo,B0116,Processo,Agendamento,1
survey-demo,B0117,Atendimento,Demora,1
survey-demo,B0117,Comunicação,Retorno,1
survey-demo,B0118,Atendimento,Demora,1
survey-demo,B0118,Comunicação,Retorno,1
survey-demo,B0119,Atendimento,Demora,1
survey-demo,B0119,Comunicação,Retorno,1
survey-demo,B0119,Processo,Agendamento,1
survey-demo,B0121,Atendimento,Demora,1
survey-demo,B0121,Comunicação,Retorno,1
survey-demo,B0121,Processo,Agendamento,1
survey-demo,B0122,Atendimento,Demora,1
survey-demo,B0123,Atendimento,Demora,1
survey-demo,B0123,Comunicação,Retorno,1
survey-demo,B0123,Processo,Agendamento,1
survey-demo,B0124,Atendimento,Demora,1
survey-demo,B0125,Atendimento,Demora,1
survey-demo,B0125,Comunicação,Retorno,1
survey-demo,B0126,Atendimento,Demora,1
survey-demo,B0126,Comunicação,Retorno,1
survey-demo,B0127,Atendimento,Cordialidade,1
survey-demo,B0127,Atendimento,Demora,1
survey-demo,B0127,Comunicação,Retorno,1
survey-demo,B0127,Processo,Agendamento,1
survey-demo,B0128,Atendimento,Demora,2
survey-demo,B0129,Atendimento,Demora,1
survey-demo,B0129,Comunicação,Retorno,1
survey-demo,B0130,Atendimento,Cordialidade,1
survey-demo,B0130,Atendimento,Demora,1
survey-demo,B0130,Comunicação,Retorno,1
survey-demo,B0130,Processo,Agendamento,1
survey-demo,B0131,Atendimento,Demora,1
survey-demo,B0134,Atendimento,Cordialidade,1
survey-demo,B0134,Atendimento,Demora,1
survey-demo,B0134,Comunicação,Retorno,1
survey-demo,B0134,Processo,Agendamento,1
survey-demo,B0135,Atendimento,Cordialidade,1
survey-demo,B0135,Atendimento,Demora,1
survey-demo,B0135,Comunicação,Retorno,1
survey-demo,B0135,Processo,Agendamento,1
survey-demo,B0136,Atendimento,Demora,2
survey-demo,B0137,Atendimento,Cordialidade,1
survey-demo,B0137,Atendimento,Demora,1
survey-demo,B0137,Comunicação,Retorno,1
survey-demo,B0137,Processo,Agendamento,1
survey-demo,B0138,Atendimento,Cordialidade,1
survey-demo,B0138,Atendimento,Demora,1
survey-demo,B0138,Comunicação,Retorno,1
survey-demo,B0138,Processo,Agendamento,1
survey-demo,B0139,Atendimento,Demora,1
survey-demo,B0140,Atendimento,Cordialidade,1
survey-demo,B0140,Atendimento,Demora,1
survey-demo,B0140,Comunicação,Retorno,1
survey-demo,B0140,Processo,Agendamento,1
survey-demo,B0141,Atendimento,Demora,1
survey-demo,B0141,Comunicação,Retorno,1
survey-demo,B0142,Atendimento,Demora,1
survey-demo,B0142,Comunicação,Retorno,1
survey-demo,B0142,Processo,Agendamento,1
survey-demo,B0143,Atendimento,Demora,1
survey-demo,B0143,Comunicação,Retorno,1
survey-demo,B0143,Processo,Agendamento,1
survey-demo,B0144,Atendimento,Demora,2
survey-demo,B0145,Atendimento,Demora,1
survey-demo,B0146,Atendimento,Cordialidade,1
survey-demo,B0146,Atendimento,Demora,1
survey-demo,B0146,Comunicação,Retorno,1
survey-demo,B0146,Processo,Agendamento,1
survey-demo,B0147,Atendimento,Demora,1
survey-demo,B0147,Comunicação,Retorno,1
survey-demo,B0148,Atendimento,Cordialidade,1
survey-demo,B0148,Atendimento,Demora,1
survey-demo,B0148,Comunicação,Retorno,1
survey-demo,B0148,Processo,Agendamento,1
survey-demo,B0149,Atendimento,Demora,1
survey-demo,B0149,Comunicação,Retorno,1
survey-demo,B0150,Atendimento,Demora,1
survey-demo,B0150,Comunicação,Retorno,1
survey-demo,B0150,Processo,Agendamento,1
survey-demo,B0153,Atendimento,Demora,1
survey-demo,B0153,Comunicação,Retorno,1
survey-demo,B0153,Processo,Agendamento,1
survey-demo,B0154,Atendimento,Demora,1
survey-demo,B0154,Comunicação,Retorno,1
survey-demo,B0154,Processo,Agendamento,1
survey-demo,B0155,Atendimento,Cordialidade,1
survey-demo,B0155,Atendimento,Demora,1
survey-demo,B0155,Comunicação,Retorno,1
survey-demo,B0155,Processo,Agendamento,1
survey-demo,B0156,Atendimento,Demora,1
survey-demo,B0156,Comunicação,Retorno,1
survey-demo,B0158,Atendimento,Demora,1
survey-demo,B0158,Comunicação,Retorno,1
survey-demo,B0158,Processo,Agendamento,1
survey-demo,B0159,Atendimento,Demora,1
survey-demo,B0159,Comunicação,Retorno,1
survey-demo,B0159,Processo,Agendamento,1
survey-demo,B0160,Atendimento,Demora,2
survey-demo,B0162,Atendimento,Demora,1
survey-demo,B0162,Comunicação,Retorno,1
survey-demo,B0162,Processo,Agendamento,1
survey-demo,B0163,Atendimento,Demora,1
survey-demo,B0163,Comunicação,Retorno,1
survey-demo,B0164,Atendimento,Demora,1
survey-demo,B0164,Comunicação,Retorno,1
survey-demo,B0165,Atendimento,Cordialidade,1
survey-demo,B0165,Atendimento,Demora,1
survey-demo,B0165,Comunicação,Retorno,1
survey-demo,B0165,Processo,Agendamento,1
survey-demo,B0166,Atendimento,Demora,1
survey-demo,B0166,Comunicação,Retorno,1
survey-demo,B0168,Atendimento,Demora,2
survey-demo,B0170,Atendimento,Cordialidade,1
survey-demo,B0170,Atendimento,Demora,1
survey-demo,B0170,Comunicação,Retorno,1
survey-demo,B0170,Processo,Agendamento,1
survey-demo,B0171,Atendimento,Cordialidade,1
survey-demo,B0171,Atendimento,Demora,1
survey-demo,B0171,Comunicação,Retorno,1
survey-demo,B0171,Processo,Agendamento,1
survey-demo,B0172,Atendimento,Demora,1
survey-demo,B0172,Comunicação,Retorno,1
survey-demo,B0172,Processo,Agendamento,1
survey-demo,B0173,Atendimento,Demora,1
survey-demo,B0173,Comunicação,Retorno,1
survey-demo,B0174,Atendimento,Demora,1
survey-demo,B0174,Comunicação,Retorno,1
survey-demo,B0175,Atendimento,Demora,1
survey-demo,B0175,Comunicação,Retorno,1
survey-demo,B0176,Atendimento,Demora,2
survey-demo,B0177,Atendimento,Demora,1
survey-demo,B0177,Comunicação,Retorno,1
survey-demo,B0177,Processo,Agendamento,1
survey-demo,B0178,Atendimento,Cordialidade,1
survey-demo,B0178,Atendimento,Demora,1
survey-demo,B0178,Comunicação,Retorno,1
survey-demo,B0178,Processo,Agendamento,1
survey-demo,B0179,Atendimento,Demora,1
survey-demo,B0180,Atendimento,Demora,1
survey-demo,B0180,Comunicação,Retorno,1
survey-demo,B0181,Atendimento,Demora,1
survey-demo,B0181,Comunicação,Retorno,1
survey-demo,B0182,Atendimento,Cordialidade,1
survey-demo,B0182,Atendimento,Demora,1
survey-demo,B0182,Comunicação,Retorno,1
survey-demo,B0182,Processo,Agendamento,1
survey-demo,B0184,Atendimento,Demora,2
survey-demo,B0186,Atendimento,Demora,1
survey-demo,B0186,Comunicação,Retorno,1
survey-demo,B0186,Processo,Agendamento,1
survey-demo,B0187,Atendimento,Demora,1
survey-demo,B0187,Comunicação,Retorno,1
survey-demo,B0187,Processo,Agendamento,1
survey-demo,B0189,Atendimento,Cordialidade,1
survey-demo,B0189,Atendimento,Demora,1
survey-demo,B0189,Comunicação,Retorno,1
survey-demo,B0189,Processo,Agendamento,1
survey-demo,B0190,Atendimento,Demora,1
survey-demo,B0191,Atendimento,Demora,1
survey-demo,B0191,Comunicação,Retorno,1
survey-demo,B0191,Processo,Agendamento,1
survey-demo,B0192,Atendimento,Demora,2
survey-demo,B0193,Atendimento,Demora,1
survey-demo,B0193,Comunicação,Retorno,1
survey-demo,B0194,Atendimento,Cordialidade,1
survey-demo,B0194,Atendimento,Demora,1
survey-demo,B0194,Comunicação,Retorno,1
survey-demo,B0194,Processo,Agendamento,1
survey-demo,B0196,Atendimento,Cordialidade,1
survey-demo,B0196,Atendimento,Demora,1
survey-demo,B0196,Comunicação,Retorno,1
survey-demo,B0196,Processo,Agendamento,1
survey-demo,B0198,Atendimento,Demora,1
survey-demo,B0198,Comunicação,Retorno,1
survey-demo,B0199,Atendimento,Demora,1
survey-demo,B0199,Comunicação,Retorno,1
survey-demo,B0199,Processo,Agendamento,1
survey-demo,B0200,Atendimento,Demora,2
survey-demo,B0201,Atendimento,Cordialidade,1
survey-demo,B0201,Atendimento,Demora,1
survey-demo,B0201,Comunicação,Retorno,1
survey-demo,B0201,Processo,Agendamento,1
survey-demo,B0202,Atendimento,Demora,1
survey-demo,B0202,Comunicação,Retorno,1
survey-demo,B0202,Processo,Agendamento,1
survey-demo,B0203,Atendimento,Demora,1
survey-demo,B0203,Comunicação,Retorno,1
survey-demo,B0204,Atendimento,Demora,1
survey-demo,B0204,Comunicação,Retorno,1
survey-demo,B0205,Atendimento,Cordialidade,1
survey-demo,B0205,Atendimento,Demora,1
survey-demo,B0205,Comunicação,Retorno,1
survey-demo,B0205,Processo,Agendamento,1
survey-demo,B0206,Atendimento,Demora,1
survey-demo,B0206,Comunicação,Retorno,1
survey-demo,B0207,Atendimento,Demora,1
survey-demo,B0207,Comunicação,Retorno,1
survey-demo,B0208,Atendimento,Demora,2
survey-demo,B0209,Atendimento,Demora,1
survey-demo,B0209,Comunicação,Retorno,1
survey-demo,B0210,Atendimento,Demora,1
survey-demo,B0210,Comunicação,Retorno,1
survey-demo,B0210,Processo,Agendamento,1
survey-demo,B0212,Atendimento,Demora,1
survey-demo,B0212,Comunicação,Retorno,1
survey-demo,B0212,Processo,Agendamento,1
survey-demo,B0214,Atendimento,Cordialidade,1
survey-demo,B0214,Atendimento,Demora,1
survey-demo,B0214,Comunicação,Retorno,1
survey-demo,B0214,Processo,Agendamento,1
survey-demo,B0217,Atendimento,Demora,1
survey-demo,B0217,Comunicação,Retorno,1
survey-demo,B0218,Atendimento,Demora,1
survey-demo,B0219,Atendimento,Demora,1
survey-demo,B0219,Comunicação,Retorno,1
survey-demo,B0220,Atendimento,Demora,1
survey-demo,B0220,Comunicação,Retorno,1
survey-demo,B0220,Processo,Agendamento,1
survey-demo,B0221,Atendimento,Demora,1
survey-demo,B0221,Comunicação,Retorno,1
survey-demo,B0221,Processo,Agendamento,1
survey-demo,B0222,Atendimento,Cordialidade,1
survey-demo,B0222,Atendimento,Demora,1
survey-demo,B0222,Comunicação,Retorno,1
survey-demo,B0222,Processo,Agendamento,1
survey-demo,B0223,Atendimento,Demora,1
survey-demo,B0224,Atendimento,Demora,2
survey-demo,B0225,Atendimento,Demora,1
survey-demo,B0225,Comunicação,Retorno,1
survey-demo,B0225,Processo,Agendamento,1
survey-demo,B0226,Atendimento,Demora,1
survey-demo,B0227,Atendimento,Cordialidade,1
survey-demo,B0227,Atendimento,Demora,1
survey-demo,B0227,Comunicação,Retorno,1
survey-demo,B0227,Processo,Agendamento,1
survey-demo,B0228,Atendimento,Demora,1
survey-demo,B0228,Comunicação,Retorno,1
survey-demo,B0229,Atendimento,Demora,1
survey-demo,B0230,Atendimento,Demora,1
survey-demo,B0230,Comunicação,Retorno,1
survey-demo,B0230,Processo,Agendamento,1
survey-demo,B0232,Atendimento,Demora,2
survey-demo,B0233,Atendimento,Demora,1
survey-demo,B0233,Comunicação,Retorno,1
survey-demo,B0235,Atendimento,Demora,1
survey-demo,B0235,Comunicação,Retorno,1
survey-demo,B0235,Processo,Agendamento,1
survey-demo,B0236,Atendimento,Demora,1
survey-demo,B0236,Comunicação,Retorno,1
survey-demo,B0236,Processo,Agendamento,1
survey-demo,B0237,Atendimento,Demora,1
survey-demo,B0237,Comunicação,Retorno,1
survey-demo,B0239,Atendimento,Demora,1
survey-demo,B0239,Comunicação,Retorno,1
survey-demo,B0240,Atendimento,Demora,2
survey-demo,B0241,Atendimento,Demora,1
survey-demo,B0241,Comunicação,Retorno,1
survey-demo,B0242,Atendimento,Demora,1
survey-demo,B0243,Atendimento,Demora,1
survey-demo,B0244,Atendimento,Cordialidade,1
survey-demo,B0244,Atendimento,Demora,1
survey-demo,B0244,Comunicação,Retorno,1
survey-demo,B0244,Processo,Agendamento,1
survey-demo,B0245,Atendimento,Demora,1
survey-demo,B0245,Comunicação,Retorno,1
survey-demo,B0246,Atendimento,Demora,1
survey-demo,B0246,Comunicação,Retorno,1
survey-demo,B0247,Atendimento,Demora,1
survey-demo,B0247,Comunicação,Retorno,1
survey-demo,B0248,Atendimento,Demora,2
survey-demo,B0249,Atendimento,Demora,1
survey-demo,B0249,Comunicação,Retorno,1
survey-demo,B0249,Processo,Agendamento,1
survey-demo,B0250,Atendimento,Demora,1
survey-demo,B0250,Comunicação,Retorno,1
survey-demo,B0251,Atendimento,Demora,1
survey-demo,B0251,Comunicação,Retorno,1
survey-demo,B0252,Atendimento,Demora,1
survey-demo,B0253,Atendimento,Demora,1
survey-demo,B0253,Comunicação,Retorno,1
survey-demo,B0254,Atendimento,Demora,1
survey-demo,B0255,Atendimento,Demora,1
survey-demo,B0255,Comunicação,Retorno,1
survey-demo,B0255,Processo,Agendamento,1
survey-demo,B0256,Atendimento,Demora,2
survey-demo,B0257,Atendimento,Demora,1
survey-demo,B0258,Atendimento,Demora,1
survey-demo,B0260,Atendimento,Demora,1
survey-demo,B0260,Comunicação,Retorno,1
survey-demo,B0260,Processo,Agendamento,1
survey-demo,B0261,Atendimento,Demora,1
survey-demo,B0261,Comunicação,Retorno,1
survey-demo,B0262,Atendimento,Demora,1
survey-demo,B0262,Comunicação,Retorno,1
survey-demo,B0263,Atendimento,Cordialidade,1
survey-demo,B0263,Atendimento,Demora,1
survey-demo,B0263,Comunicação,Retorno,1
survey-demo,B0263,Processo,Agendamento,1
survey-demo,B0264,Atendimento,Demora,2
survey-demo,B0265,Atendimento,Demora,1
survey-demo,B0265,Comunicação,Retorno,1
survey-demo,B0266,Atendimento,Demora,1
survey-demo,B0266,Comunicação,Retorno,1
survey-demo,B0267,Atendimento,Demora,1
survey-demo,B0268,Atendimento,Demora,1
survey-demo,B0268,Comunicação,Retorno,1
survey-demo,B0269,Atendimento,Demora,1
survey-demo,B0270,Atendimento,Demora,1
survey-demo,B0270,Comunicação,Retorno,1
survey-demo,B0271,Atendimento,Demora,1
survey-demo,B0271,Comunicação,Retorno,1
survey-demo,B0272,Atendimento,Demora,2
survey-demo,B0274,Atendimento,Demora,1
survey-demo,B0274,Comunicação,Retorno,1
survey-demo,B0275,Atendimento,Demora,1
survey-demo,B0275,Comunicação,Retorno,1
survey-demo,B0276,Atendimento,Cordialidade,1
survey-demo,B0276,Atendimento,Demora,1
survey-demo,B0276,Comunicação,Retorno,1
survey-demo,B0276,Processo,Agendamento,1
survey-demo,B0278,Atendimento,Demora,1
survey-demo,B0278,Comunicação,Retorno,1
survey-demo,B0279,Atendimento,Demora,1
survey-demo,B0279,Comunicação,Retorno,1
survey-demo,B0280,Atendimento,Demora,2
survey-demo,B0281,Atendimento,Cordialidade,1
survey-demo,B0281,Atendimento,Demora,1
survey-demo,B0281,Comunicação,Retorno,1
survey-demo,B0281,Processo,Agendamento,1
survey-demo,B0282,Atendimento,Cordialidade,1
survey-demo,B0282,Atendimento,Demora,1
survey-demo,B0282,Comunicação,Retorno,1
survey-demo,B0282,Processo,Agendamento,1
survey-demo,B0283,Atendimento,Demora,1
survey-demo,B0283,Comunicação,Retorno,1
survey-demo,B0284,Atendimento,Demora,1
survey-demo,B0284,Comunicação,Retorno,1
survey-demo,B0284,Processo,Agendamento,1
survey-demo,B0285,Atendimento,Demora,1
survey-demo,B0285,Comunicação,Retorno,1
survey-demo,B0286,Atendimento,Demora,1
survey-demo,B0286,Comunicação,Retorno,1
survey-demo,B0287,Atendimento,Demora,1
survey-demo,B0289,Atendimento,Demora,1
survey-demo,B0289,Comunicação,Retorno,1
survey-demo,B0289,Processo,Agendamento,1
survey-demo,B0290,Atendimento,Cordialidade,1
survey-demo,B0290,Atendimento,Demora,1
survey-demo,B0290,Comunicação,Retorno,1
survey-demo,B0290,Processo,Agendamento,1
survey-demo,B0291,Atendimento,Cordialidade,1
survey-demo,B0291,Atendimento,Demora,1
survey-demo,B0291,Comunicação,Retorno,1
survey-demo,B0291,Processo,Agendamento,1
survey-demo,B0292,Atendimento,Demora,1
survey-demo,B0292,Comunicação,Retorno,1
survey-demo,B0292,Processo,Agendamento,1
survey-demo,B0293,Atendimento,Demora,1
survey-demo,B0293,Comunicação,Retorno,1
survey-demo,B0294,Atendimento,Demora,1
survey-demo,B0295,Atendimento,Demora,1
survey-demo,B0295,Comunicação,Retorno,1
survey-demo,B0297,Atendimento,Demora,1
survey-demo,B0297,Comunicação,Retorno,1
survey-demo,B0297,Processo,Agendamento,1
