survey_id,response_id,metric,score,category,subcategory,question_id
survey-demo,B0011,NPS,4,Comunicação,Retorno,q_channels
survey-demo,B0011,NPS,4,Comunicação,Retorno,q_resolution
survey-demo,B0011,NPS,4,Comunicação,Retorno,q_wait
survey-demo,B0011,NPS,4,Processo,Agendamento,q_channels
survey-demo,B0011,NPS,4,Processo,Agendamento,q_resolution
survey-demo,B0011,NPS,4,Processo,Agendamento,q_wait
survey-demo,B0012,CSAT,4,,,
survey-demo,B0013,NPS,10,Atendimento,Demora,q_resolution
survey-demo,B0013,NPS,10,Atendimento,Demora,q_wait
survey-demo,B0013,NPS,10,Comunicação,Retorno,q_resolution
survey-demo,B0013,NPS,10,Comunicação,Retorno,q_wait
survey-demo,B0014,NPS,1,Atendimento,Cordialidade,q_wait
survey-demo,B0014,NPS,1,Atendimento,Demora,q_wait
survey-demo,B0014,NPS,1,Comunicação,Retorno,q_wait
survey-demo,B0014,NPS,1,Processo,Agendamento,q_wait
survey-demo,B0015,CSAT,3,Atendimento,Demora,q_channels
survey-demo,B0015,CSAT,3,Atendimento,Demora,q_resolution
survey-demo,B0015,CSAT,3,Atendimento,Demora,q_wait
survey-demo,B0015,CSAT,3,Comunicação,Retorno,q_channels
survey-demo,B0015,CSAT,3,Comunicação,Retorno,q_resolution
survey-demo,B0015,CSAT,3,Comunicação,Retorno,q_wait
survey-demo,B0015,CSAT,3,Processo,Agendamento,q_channels
survey-demo,B0015,CSAT,3,Processo,Agendamento,q_resolution
survey-demo,B0015,CSAT,3,Processo,Agendamento,q_wait
survey-demo,B0016,NPS,1,Atendimento,Demora,q_wait
survey-demo,B0017,NPS,9,Atendimento,Demora,
survey-demo,B0017,NPS,9,Comunicação,Retorno,
survey-demo,B0018,CSAT,5,,,
survey-demo,B0019,NPS,6,Atendimento,Demora,
survey-demo,B0019,NPS,6,Comunicação,Retorno,
survey-demo,B0019,NPS,6,Processo,Agendamento,
survey-demo,B0020,NPS,2,Atendimento,Cordialidade,
survey-demo,B0020,NPS,2,Atendimento,Demora,
survey-demo,B0020,NPS,2,Comunicação,Retorno,
survey-demo,B0020,NPS,2,Processo,Agendamento,
survey-demo,B0021,CSAT,4,Atendimento,Demora,
survey-demo,B0022,NPS,3,Atendimento,Cordialidade,
survey-demo,B0022,NPS,3,Atendimento,Demora,
survey-demo,B0022,NPS,3,Comunicação,Retorno,
survey-demo,B0022,NPS,3,Processo,Agendamento,
survey-demo,B0023,NPS,4,Atendimento,Demora,q_resolution
survey-demo,B0023,NPS,4,Atendimento,Demora,q_wait
survey-demo,B0023,NPS,4,Comunicação,Retorno,q_resolution
survey-demo,B0023,NPS,4,Comunicação,Retorno,q_wait
survey-demo,B0023,NPS,4,Processo,Agendamento,q_resolution
survey-demo,B0023,NPS,4,Processo,Agendamento,q_wait
survey-demo,B0024,CSAT,2,Atendimento,Demora,q_wait
survey-demo,B0025,NPS,9,,,q_wait
survey-demo,B0026,NPS,2,Atendimento,Demora,
survey-demo,B0026,NPS,2,Comunicação,Retorno,
survey-demo,B0027,CSAT,4,Atendimento,Demora,q_wait
survey-demo,B0027,CSAT,4,Comunicação,Retorno,q_wait
survey-demo,B0028,NPS,8,,,q_wait
survey-demo,B0029,NPS,7,Atendimento,Demora,q_resolution
survey-demo,B0029,NPS,7,Atendimento,Demora,q_wait
survey-demo,B0029,NPS,7,Comunicação,Retorno,q_resolution
survey-demo,B0029,NPS,7,Comunicação,Retorno,q_wait
survey-demo,B0030,CSAT,5,Atendimento,Demora,q_resolution
survey-demo,B0030,CSAT,5,Atendimento,Demora,q_wait
survey-demo,B0030,CSAT,5,Comunicação,Retorno,q_resolution
survey-demo,B0030,CSAT,5,Comunicação,Retorno,q_wait
survey-demo,B0031,NPS,8,Atendimento,Demora,q_channels
survey-demo,B0031,NPS,8,Atendimento,Demora,q_resolution
survey-demo,B0031,NPS,8,Atendimento,Demora,q_wait
survey-demo,B0031,NPS,8,Comunicação,Retorno,q_channels
survey-demo,B0031,NPS,8,Comunicação,Retorno,q_resolution
survey-demo,B0031,NPS,8,Comunicação,Retorno,q_wait
survey-demo,B0032,NPS,2,Atendimento,Demora,q_wait
survey-demo,B0033,CSAT,2,Atendimento,Cordialidade,q_wait
survey-demo,B0033,CSAT,2,Atendimento,Demora,q_wait
survey-demo,B0033,CSAT,2,Comunicação,Retorno,q_wait
survey-demo,B0033,CSAT,2,Processo,Agendamento,q_wait
survey-demo,B0034,NPS,10,Atendimento,Demora,q_channels
survey-demo,B0034,NPS,10,Atendimento,Demora,q_resolution
survey-demo,B0034,NPS,10,Atendimento,Demora,q_wait
survey-demo,B0034,NPS,10,Comunicação,Retorno,q_channels
survey-demo,B0034,NPS,10,Comunicação,Retorno,q_resolution
survey-demo,B0034,NPS,10,Comunicação,Retorno,q_wait
survey-demo,B0035,NPS,6,Atendimento,Cordialidade,q_wait
survey-demo,B0035,NPS,6,Atendimento,Demora,q_wait
survey-demo,B0035,NPS,6,Comunicação,Retorno,q_wait
survey-demo,B0035,NPS,6,Processo,Agendamento,q_wait
survey-demo,B0036,CSAT,1,Atendimento,Demora,q_channels
survey-demo,B0036,CSAT,1,Atendimento,Demora,q_resolution
survey-demo,B0036,CSAT,1,Atendimento,Demora,q_wait
survey-demo,B0036,CSAT,1,Comunicação,Retorno,q_channels
survey-demo,B0036,CSAT,1,Comunicação,Retorno,q_resolution
survey-demo,B0036,CSAT,1,Comunicação,Retorno,q_wait
survey-demo,B0036,CSAT,1,Processo,Agendamento,q_channels
survey-demo,B0036,CSAT,1,Processo,Agendamento,q_resolution
survey-demo,B0036,CSAT,1,Processo,Agendamento,q_wait
survey-demo,B0037,NPS,8,,,q_wait
survey-demo,B0038,NPS,0,Atendimento,Demora,q_wait
survey-demo,B0038,NPS,0,Comunicação,Retorno,q_wait
survey-demo,B0038,NPS,0,Processo,Agendamento,q_wait
survey-demo,B0039,CSAT,1,Atendimento,Demora,q_wait
survey-demo,B0039,CSAT,1,Comunicação,Retorno,q_wait
survey-demo,B0039,CSAT,1,Processo,Agendamento,q_wait
survey-demo,B0040,NPS,10,Atendimento,Demora,q_wait
survey-demo,B0041,NPS,8,Atendimento,Demora,q_resolution
survey-demo,B0041,NPS,8,Atendimento,Demora,q_wait
survey-demo,B0042,CSAT,2,Atendimento,Demora,q_resolution
survey-demo,B0042,CSAT,2,Atendimento,Demora,q_wait
survey-demo,B0042,CSAT,2,Comunicação,Retorno,q_resolution
survey-demo,B0042,CSAT,2,Comunicação,Retorno,q_wait
survey-demo,B0042,CSAT,2,Processo,Agendamento,q_resolution
survey-demo,B0042,CSAT,2,Processo,Agendamento,q_wait
survey-demo,B0043,NPS,9,Atendimento,Demora,
survey-demo,B0044,NPS,3,Atendimento,Demora,q_channels
survey-demo,B0044,NPS,3,Atendimento,Demora,q_resolution
survey-demo,B0044,NPS,3,Atendimento,Demora,q_wait
survey-demo,B0044,NPS,3,Comunicação,Retorno,q_channels
survey-demo,B0044,NPS,3,Comunicação,Retorno,q_resolution
survey-demo,B0044,NPS,3,Comunicação,Retorno,q_wait
survey-demo,B0045,CSAT,2,Atendimento,Demora,q_wait
survey-demo,B0045,CSAT,2,Comunicação,Retorno,q_wait
survey-demo,B0045,CSAT,2,Processo,Agendamento,q_wait
survey-demo,B0046,NPS,10,Atendimento,Demora,q_wait
survey-demo,B0046,NPS,10,Comunicação,Retorno,q_wait
survey-demo,B0047,NPS,10,Atendimento,Demora,q_channels
survey-demo,B0047,NPS,10,Atendimento,Demora,q_resolution
survey-demo,B0047,NPS,10,Atendimento,Demora,q_wait
survey-demo,B0047,NPS,10,Comunicação,Retorno,q_channels
survey-demo,B0047,NPS,10,Comunicação,Retorno,q_resolution
survey-demo,B0047,NPS,10,Comunicação,Retorno,q_wait
survey-demo,B0048,CSAT,3,Atendimento,Demora,q_wait
survey-demo,B0049,NPS,4,Atendimento,Demora,q_channels
survey-demo,B0049,NPS,4,Atendimento,Demora,q_resolution
survey-demo,B0049,NPS,4,Atendimento,Demora,q_wait
survey-demo,B0049,NPS,4,Comunicação,Retorno,q_channels
survey-demo,B0049,NPS,4,Comunicação,Retorno,q_resolution
survey-demo,B0049,NPS,4,Comunicação,Retorno,q_wait
survey-demo,B0049,NPS,4,Processo,Agendamento,q_channels
survey-demo,B0049,NPS,4,Processo,Agendamento,q_resolution
survey-demo,B0049,NPS,4,Processo,Agendamento,q_wait
survey-demo,B0050,NPS,8,,,q_channels
survey-demo,B0050,NPS,8,,,q_resolution
survey-demo,B0050,NPS,8,,,q_wait
survey-demo,B0051,CSAT,4,Atendimento,Demora,q_channels
survey-demo,B0051,CSAT,4,Atendimento,Demora,q_resolution
survey-demo,B0051,CSAT,4,Atendimento,Demora,q_wait
survey-demo,B0051,CSAT,4,Comunicação,Retorno,q_channels
survey-demo,B0051,CSAT,4,Comunicação,Retorno,q_resolution
survey-demo,B0051,CSAT,4,Comunicação,Retorno,q_wait
survey-demo,B0052,NPS,0,Atendimento,Demora,
survey-demo,B0052,NPS,0,Comunicação,Retorno,
survey-demo,B0052,NPS,0,Processo,Agendamento,
survey-demo,B0053,NPS,7,Atendimento,Demora,q_resolution
survey-demo,B0053,NPS,7,Atendimento,Demora,q_wait
survey-demo,B0054,CSAT,5,Atendimento,Demora,q_channels
survey-demo,B0054,CSAT,5,Atendimento,Demora,q_resolution
survey-demo,B0054,CSAT,5,Atendimento,Demora,q_wait
survey-demo,B0054,CSAT,5,Comunicação,Retorno,q_channels
survey-demo,B0054,CSAT,5,Comunicação,Retorno,q_resolution
survey-demo,B0054,CSAT,5,Comunicação,Retorno,q_wait
survey-demo,B0055,NPS,4,Atendimento,Demora,q_channels
survey-demo,B0055,NPS,4,Atendimento,Demora,q_resolution
survey-demo,B0055,NPS,4,Atendimento,Demora,q_wait
survey-demo,B0055,NPS,4,Comunicação,Retorno,q_channels
survey-demo,B0055,NPS,4,Comunicação,Retorno,q_resolution
survey-demo,B0055,NPS,4,Comunicação,Retorno,q_wait
survey-demo,B0055,NPS,4,Processo,Agendamento,q_channels
survey-demo,B0055,NPS,4,Processo,Agendamento,q_resolution
survey-demo,B0055,NPS,4,Processo,Agendamento,q_wait
survey-demo,B0056,NPS,5,Atendimento,Demora,q_wait
survey-demo,B0057,CSAT,4,Atendimento,Demora,q_wait
survey-demo,B0058,NPS,5,Atendimento,Demora,q_wait
survey-demo,B0058,NPS,5,Comunicação,Retorno,q_wait
survey-demo,B0058,NPS,5,Processo,Agendamento,q_wait
survey-demo,B0059,NPS,6,Atendimento,Demora,q_wait
survey-demo,B0059,NPS,6,Comunicação,Retorno,q_wait
survey-demo,B0060,CSAT,3,Atendimento,Demora,q_resolution
survey-demo,B0060,CSAT,3,Atendimento,Demora,q_wait
survey-demo,B0060,CSAT,3,Comunicação,Retorno,q_resolution
survey-demo,B0060,CSAT,3,Comunicação,Retorno,q_wait
survey-demo,B0060,CSAT,3,Processo,Agendamento,q_resolution
survey-demo,B0060,CSAT,3,Processo,Agendamento,q_wait
survey-demo,B0061,NPS,8,,,q_wait
survey-demo,B0062,NPS,4,Atendimento,Demora,q_channels
survey-demo,B0062,NPS,4,Atendimento,Demora,q_resolution
survey-demo,B0062,NPS,4,Atendimento,Demora,q_wait
survey-demo,B0062,NPS,4,Comunicação,Retorno,q_channels
survey-demo,B0062,NPS,4,Comunicação,Retorno,q_resolution
survey-demo,B0062,NPS,4,Comunicação,Retorno,q_wait
survey-demo,B0062,NPS,4,Processo,Agendamento,q_channels
survey-demo,B0062,NPS,4,Processo,Agendamento,q_resolution
survey-demo,B0062,NPS,4,Processo,Agendamento,q_wait
survey-demo,B0063,CSAT,2,Atendimento,Demora,q_channels
survey-demo,B0063,CSAT,2,Atendimento,Demora,q_resolution
survey-demo,B0063,CSAT,2,Atendimento,Demora,q_wait
survey-demo,B0063,CSAT,2,Comunicação,Retorno,q_channels
survey-demo,B0063,CSAT,2,Comunicação,Retorno,q_resolution
survey-demo,B0063,CSAT,2,Comunicação,Retorno,q_wait
survey-demo,B0064,NPS,5,Atendimento,Demora,q_wait
survey-demo,B0065,NPS,7,,,q_resolution
survey-demo,B0065,NPS,7,,,q_wait
survey-demo,B0066,CSAT,3,Atendimento,Cordialidade,
survey-demo,B0066,CSAT,3,Atendimento,Demora,
survey-demo,B0066,CSAT,3,Comunicação,Retorno,
survey-demo,B0066,CSAT,3,Processo,Agendamento,
survey-demo,B0067,NPS,6,Atendimento,Demora,q_channels
survey-demo,B0067,NPS,6,Atendimento,Demora,q_resolution
survey-demo,B0067,NPS,6,Atendimento,Demora,q_wait
survey-demo,B0067,NPS,6,Comunicação,Retorno,q_channels
survey-demo,B0067,NPS,6,Comunicação,Retorno,q_resolution
survey-demo,B0067,NPS,6,Comunicação,Retorno,q_wait
survey-demo,B0067,NPS,6,Processo,Agendamento,q_channels
survey-demo,B0067,NPS,6,Processo,Agendamento,q_resolution
survey-demo,B0067,NPS,6,Processo,Agendamento,q_wait
survey-demo,B0068,NPS,4,Atendimento,Demora,q_wait
survey-demo,B0068,NPS,4,Comunicação,Retorno,q_wait
survey-demo,B0068,NPS,4,Processo,Agendamento,q_wait
survey-demo,B0069,CSAT,5,,,q_channels
survey-demo,B0069,CSAT,5,,,q_resolution
survey-demo,B0069,CSAT,5,,,q_wait
survey-demo,B0070,NPS,10,,,q_channels
survey-demo,B0070,NPS,10,,,q_resolution
survey-demo,B0070,NPS,10,,,q_wait
survey-demo,B0071,NPS,8,,,q_channels
survey-demo,B0071,NPS,8,,,q_resolution
survey-demo,B0071,NPS,8,,,q_wait
survey-demo,B0072,CSAT,4,Atendimento,Demora,q_wait
survey-demo,B0073,NPS,0,Atendimento,Demora,q_resolution
survey-demo,B0073,NPS,0,Atendimento,Demora,q_wait
survey-demo,B0073,NPS,0,Comunicação,Retorno,q_resolution
survey-demo,B0073,NPS,0,Comunicação,Retorno,q_wait
survey-demo,B0073,NPS,0,Processo,Agendamento,q_resolution
survey-demo,B0073,NPS,0,Processo,Agendamento,q_wait
survey-demo,B0074,NPS,0,Atendimento,Cordialidade,q_resolution
survey-demo,B0074,NPS,0,Atendimento,Cordialidade,q_wait
survey-demo,B0074,NPS,0,Atendimento,Demora,q_resolution
survey-demo,B0074,NPS,0,Atendimento,Demora,q_wait
survey-demo,B0074,NPS,0,Comunicação,Retorno,q_resolution
survey-demo,B0074,NPS,0,Comunicação,Retorno,q_wait
survey-demo,B0074,NPS,0,Processo,Agendamento,q_resolution
survey-demo,B0074,NPS,0,Processo,Agendamento,q_wait
survey-demo,B0075,CSAT,2,Atendimento,Demora,q_resolution
survey-demo,B0075,CSAT,2,Atendimento,Demora,q_wait
survey-demo,B0075,CSAT,2,Comunicação,Retorno,q_resolution
survey-demo,B0075,CSAT,2,Comunicação,Retorno,q_wait
survey-demo,B0076,NPS,5,Atendimento,Demora,
survey-demo,B0076,NPS,5,Comunicação,Retorno,
survey-demo,B0076,NPS,5,Processo,Agendamento,
survey-demo,B0077,NPS,9,Atendimento,Demora,
survey-demo,B0078,CSAT,1,Atendimento,Demora,q_wait
survey-demo,B0078,CSAT,1,Comunicação,Retorno,q_wait
survey-demo,B0079,NPS,8,Atendimento,Demora,q_wait
survey-demo,B0079,NPS,8,Comunicação,Retorno,q_wait
survey-demo,B0080,NPS,1,Atendimento,Demora,q_wait
survey-demo,B0081,CSAT,2,Atendimento,Demora,q_resolution
survey-demo,B0081,CSAT,2,Atendimento,Demora,q_wait
survey-demo,B0081,CSAT,2,Comunicação,Retorno,q_resolution
survey-demo,B0081,CSAT,2,Comunicação,Retorno,q_wait
survey-demo,B0082,NPS,2,Atendimento,Cordialidade,q_resolution
survey-demo,B0082,NPS,2,Atendimento,Cordialidade,q_wait
survey-demo,B0082,NPS,2,Atendimento,Demora,q_resolution
survey-demo,B0082,NPS,2,Atendimento,Demora,q_wait
survey-demo,B0082,NPS,2,Comunicação,Retorno,q_resolution
survey-demo,B0082,NPS,2,Comunicação,Retorno,q_wait
survey-demo,B0082,NPS,2,Processo,Agendamento,q_resolution
survey-demo,B0082,NPS,2,Processo,Agendamento,q_wait
survey-demo,B0083,NPS,6,Atendimento,Cordialidade,q_channels
survey-demo,B0083,NPS,6,Atendimento,Cordialidade,q_resolution
survey-demo,B0083,NPS,6,Atendimento,Cordialidade,q_wait
survey-demo,B0083,NPS,6,Atendimento,Demora,q_channels
survey-demo,B0083,NPS,6,Atendimento,Demora,q_resolution
survey-demo,B0083,NPS,6,Atendimento,Demora,q_wait
survey-demo,B0083,NPS,6,Comunicação,Retorno,q_channels
survey-demo,B0083,NPS,6,Comunicação,Retorno,q_resolution
survey-demo,B0083,NPS,6,Comunicação,Retorno,q_wait
survey-demo,B0083,NPS,6,Processo,Agendamento,q_channels
survey-demo,B0083,NPS,6,Processo,Agendamento,q_resolution
survey-demo,B0083,NPS,6,Processo,Agendamento,q_wait
survey-demo,B0084,CSAT,1,Atendimento,Demora,q_channels
survey-demo,B0084,CSAT,1,Atendimento,Demora,q_resolution
survey-demo,B0084,CSAT,1,Atendimento,Demora,q_wait
survey-demo,B0084,CSAT,1,Comunicação,Retorno,q_channels
survey-demo,B0084,CSAT,1,Comunicação,Retorno,q_resolution
survey-demo,B0084,CSAT,1,Comunicação,Retorno,q_wait
survey-demo,B0085,NPS,10,Atendimento,Demora,q_wait
survey-demo,B0086,NPS,2,Atendimento,Demora,
survey-demo,B0086,NPS,2,Comunicação,Retorno,
survey-demo,B0086,NPS,2,Processo,Agendamento,
survey-demo,B0087,CSAT,2,Atendimento,Demora,q_channels
survey-demo,B0087,CSAT,2,Atendimento,Demora,q_resolution
survey-demo,B0087,CSAT,2,Atendimento,Demora,q_wait
survey-demo,B0087,CSAT,2,Comunicação,Retorno,q_channels
survey-demo,B0087,CSAT,2,Comunicação,Retorno,q_resolution
survey-demo,B0087,CSAT,2,Comunicação,Retorno,q_wait
survey-demo,B0088,NPS,10,Atendimento,Demora,q_wait
survey-demo,B0089,NPS,10,,,
survey-demo,B0090,CSAT,5,,,q_wait
survey-demo,B0091,NPS,3,Atendimento,Cordialidade,
survey-demo,B0091,NPS,3,Atendimento,Demora,
survey-demo,B0091,NPS,3,Comunicação,Retorno,
survey-demo,B0091,NPS,3,Processo,Agendamento,
survey-demo,B0092,NPS,0,Atendimento,Demora,
survey-demo,B0092,NPS,0,Comunicação,Retorno,
survey-demo,B0092,NPS,0,Processo,Agendamento,
survey-demo,B0093,CSAT,1,Atendimento,Cordialidade,
survey-demo,B0093,CSAT,1,Atendimento,Demora,
survey-demo,B0093,CSAT,1,Comunicação,Retorno,
survey-demo,B0093,CSAT,1,Processo,Agendamento,
survey-demo,B0094,NPS,0,Atendimento,Cordialidade,
survey-demo,B0094,NPS,0,Atendimento,Demora,
survey-demo,B0094,NPS,0,Comunicação,Retorno,
survey-demo,B0094,NPS,0,Processo,Agendamento,
survey-demo,B0095,NPS,2,Atendimento,Demora,q_resolution
survey-demo,B0095,NPS,2,Atendimento,Demora,q_wait
survey-demo,B0095,NPS,2,Comunicação,Retorno,q_resolution
survey-demo,B0095,NPS,2,Comunicação,Retorno,q_wait
survey-demo,B0095,NPS,2,Processo,Agendamento,q_resolution
survey-demo,B0095,NPS,2,Processo,Agendamento,q_wait
survey-demo,B0096,CSAT,3,Atendimento,Demora,q_wait
survey-demo,B0097,NPS,10,Atendimento,Demora,q_wait
survey-demo,B0097,NPS,10,Comunicação,Retorno,q_wait
survey-demo,B0098,NPS,3,Atendimento,Demora,q_resolution
survey-demo,B0098,NPS,3,Atendimento,Demora,q_wait
survey-demo,B0098,NPS,3,Comunicação,Retorno,q_resolution
survey-demo,B0098,NPS,3,Comunicação,Retorno,q_wait
survey-demo,B0099,CSAT,1,Atendimento,Demora,q_wait
survey-demo,B0099,CSAT,1,Comunicação,Retorno,q_wait
survey-demo,B0099,CSAT,1,Processo,Agendamento,q_wait
survey-demo,B0100,NPS,3,Atendimento,Demora,q_channels
survey-demo,B0100,NPS,3,Atendimento,Demora,q_resolution
survey-demo,B0100,NPS,3,Atendimento,Demora,q_wait
survey-demo,B0100,NPS,3,Comunicação,Retorno,q_channels
survey-demo,B0100,NPS,3,Comunicação,Retorno,q_resolution
survey-demo,B0100,NPS,3,Comunicação,Retorno,q_wait
survey-demo,B0100,NPS,3,Processo,Agendamento,q_channels
survey-demo,B0100,NPS,3,Processo,Agendamento,q_resolution
survey-demo,B0100,NPS,3,Processo,Agendamento,q_wait
survey-demo,B0101,NPS,1,Atendimento,Cordialidade,q_channels
survey-demo,B0101,NPS,1,Atendimento,Cordialidade,q_resolution
survey-demo,B0101,NPS,1,Atendimento,Cordialidade,q_wait
survey-demo,B0101,NPS,1,Atendimento,Demora,q_channels
survey-demo,B0101,NPS,1,Atendimento,Demora,q_resolution
survey-demo,B0101,NPS,1,Atendimento,Demora,q_wait
survey-demo,B0101,NPS,1,Comunicação,Retorno,q_channels
survey-demo,B0101,NPS,1,Comunicação,Retorno,q_resolution
survey-demo,B0101,NPS,1,Comunicação,Retorno,q_wait
survey-demo,B0101,NPS,1,Processo,Agendamento,q_channels
survey-demo,B0101,NPS,1,Processo,Agendamento,q_resolution
survey-demo,B0101,NPS,1,Processo,Agendamento,q_wait
survey-demo,B0102,CSAT,5,,,q_channels
survey-demo,B0102,CSAT,5,,,q_resolution
survey-demo,B0102,CSAT,5,,,q_wait
survey-demo,B0103,NPS,6,Atendimento,Demora,q_resolution
survey-demo,B0103,NPS,6,Atendimento,Demora,q_wait
survey-demo,B0103,NPS,6,Comunicação,Retorno,q_resolution
survey-demo,B0103,NPS,6,Comunicação,Retorno,q_wait
survey-demo,B0104,NPS,7,Atendimento,Demora,q_wait
survey-demo,B0105,CSAT,3,Atendimento,Demora,q_channels
survey-demo,B0105,CSAT,3,Atendimento,Demora,q_resolution
survey-demo,B0105,CSAT,3,Atendimento,Demora,q_wait
survey-demo,B0105,CSAT,3,Comunicação,Retorno,q_channels
survey-demo,B0105,CSAT,3,Comunicação,Retorno,q_resolution
survey-demo,B0105,CSAT,3,Comunicação,Retorno,q_wait
survey-demo,B0106,NPS,6,Atendimento,Demora,
survey-demo,B0106,NPS,6,Comunicação,Retorno,
survey-demo,B0107,NPS,6,Atendimento,Demora,q_resolution
survey-demo,B0107,NPS,6,Atendimento,Demora,q_wait
survey-demo,B0107,NPS,6,Comunicação,Retorno,q_resolution
survey-demo,B0107,NPS,6,Comunicação,Retorno,q_wait
survey-demo,B0107,NPS,6,Processo,Agendamento,q_resolution
survey-demo,B0107,NPS,6,Processo,Agendamento,q_wait
survey-demo,B0108,CSAT,5,,,q_resolution
survey-demo,B0108,CSAT,5,,,q_wait
survey-demo,B0109,NPS,1,Atendimento,Cordialidade,q_resolution
survey-demo,B0109,NPS,1,Atendimento,Cordialidade,q_wait
survey-demo,B0109,NPS,1,Atendimento,Demora,q_resolution
survey-demo,B0109,NPS,1,Atendimento,Demora,q_wait
survey-demo,B0109,NPS,1,Comunicação,Retorno,q_resolution
survey-demo,B0109,NPS,1,Comunicação,Retorno,q_wait
survey-demo,B0109,NPS,1,Processo,Agendamento,q_resolution
survey-demo,B0109,NPS,1,Processo,Agendamento,q_wait
survey-demo,B0110,NPS,2,Atendimento,Demora,q_channels
survey-demo,B0110,NPS,2,Atendimento,Demora,q_resolution
survey-demo,B0110,NPS,2,Atendimento,Demora,q_wait
survey-demo,B0110,NPS,2,Comunicação,Retorno,q_channels
survey-demo,B0110,NPS,2,Comunicação,Retorno,q_resolution
survey-demo,B0110,NPS,2,Comunicação,Retorno,q_wait
survey-demo,B0110,NPS,2,Processo,Agendamento,q_channels
survey-demo,B0110,NPS,2,Processo,Agendamento,q_resolution
survey-demo,B0110,NPS,2,Processo,Agendamento,q_wait
survey-demo,B0111,CSAT,1,Atendimento,Cordialidade,
survey-demo,B0111,CSAT,1,Atendimento,Demora,
survey-demo,B0111,CSAT,1,Comunicação,Retorno,
survey-demo,B0111,CSAT,1,Processo,Agendamento,
survey-demo,B0112,NPS,10,Atendimento,Demora,q_wait
survey-demo,B0113,NPS,3,Atendimento,Cordialidade,
survey-demo,B0113,NPS,3,Atendimento,Demora,
survey-demo,B0113,NPS,3,Comunicação,Retorno,
